date,source,feed_name,price_column,price_50kg_rs,raw_price_text,raw_row
2021-09-18,priceindex_wayback,13.0,,,,"{""M"": ""13.0"", ""T"": ""14.0"", ""W"": ""15.0"", ""T.1"": ""16.0"", ""F"": ""17.0"", ""S"": ""18.0"", ""S.1"": ""19.0""}"
2021-09-18,priceindex_wayback,20.0,,,,"{""M"": ""20.0"", ""T"": ""21.0"", ""W"": ""22.0"", ""T.1"": ""23.0"", ""F"": ""24.0"", ""S"": ""25.0"", ""S.1"": ""26.0""}"
2021-09-18,priceindex_wayback,27.0,,,,"{""M"": ""27.0"", ""T"": ""28.0"", ""W"": ""29.0"", ""T.1"": ""30.0"", ""F"": ""nan"", ""S"": ""nan"", ""S.1"": ""nan""}"
2021-09-18,priceindex_wayback,6.0,,,,"{""M"": ""6.0"", ""T"": ""7.0"", ""W"": ""8.0"", ""T.1"": ""9.0"", ""F"": ""10.0"", ""S"": ""11.0"", ""S.1"": ""12.0""}"
2021-09-18,priceindex_wayback,Breeder Crumbs,,,,"{""0"": ""19"", ""1"": ""Breeder Crumbs"", ""2"": ""3,425-3,520""}"
2021-09-18,priceindex_wayback,Breeder Grower Crumbs,,,,"{""0"": ""17"", ""1"": ""Breeder Grower Crumbs"", ""2"": ""3,405-3,450""}"
2021-09-18,priceindex_wayback,Breeder Starter Crumbs,,,,"{""0"": ""16"", ""1"": ""Breeder Starter Crumbs"", ""2"": ""3,425-3,500""}"
2021-09-18,priceindex_wayback,Broiler Finisher Crumbs,,,,"{""0"": ""15"", ""1"": ""Broiler Finisher Crumbs"", ""2"": ""3,600-3,700""}"
2021-09-18,priceindex_wayback,Broiler Finisher Crumbs (Control),,,,"{""0"": ""14-S2"", ""1"": ""Broiler Finisher Crumbs (Control)"", ""2"": ""3,610-3,650""}"
2021-09-18,priceindex_wayback,Broiler Finisher Crumbs (Medicated),,,,"{""0"": ""14-S2 M"", ""1"": ""Broiler Finisher Crumbs (Medicated)"", ""2"": ""3,675-3,700""}"
2021-09-18,priceindex_wayback,Broiler Grower Crumbs (Control),,,,"{""0"": ""14-S1"", ""1"": ""Broiler Grower Crumbs (Control)"", ""2"": ""3,625-3,700""}"
2021-09-18,priceindex_wayback,Broiler Pre Starter Crumbs,,,,"{""0"": ""14"", ""1"": ""Broiler Pre Starter Crumbs"", ""2"": ""3,550-3,650""}"
2021-09-18,priceindex_wayback,Broiler Pre Starter Crumbs (Control),,,,"{""0"": ""14-S"", ""1"": ""Broiler Pre Starter Crumbs (Control)"", ""2"": ""3,690-3,720""}"
2021-09-18,priceindex_wayback,Layer Cage Crumbs,,,,"{""0"": ""13-S"", ""1"": ""Layer Cage Crumbs"", ""2"": ""3,200-3,300""}"
2021-09-18,priceindex_wayback,Layer Crumbs,,,,"{""0"": ""13"", ""1"": ""Layer Crumbs"", ""2"": ""3,185-3,350""}"
2021-09-18,priceindex_wayback,Layer Grower Crumbs,,,,"{""0"": ""12"", ""1"": ""Layer Grower Crumbs"", ""2"": ""3,250-3,315""}"
